COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03009001;ALCOI;01/01/1997;HMN;21
03009001;ALCOI;01/01/1997;SO2;15
03009001;ALCOI;02/01/1997;SO2;17
03009001;ALCOI;02/01/1997;HMN;24
03009001;ALCOI;03/01/1997;HMN;26
03009001;ALCOI;03/01/1997;SO2;18
03009001;ALCOI;04/01/1997;SO2;21
03009001;ALCOI;04/01/1997;HMN;24
03009001;ALCOI;05/01/1997;SO2;29
03009001;ALCOI;05/01/1997;HMN;42
03009001;ALCOI;06/01/1997;SO2;39
03009001;ALCOI;06/01/1997;HMN;39
03009001;ALCOI;07/01/1997;SO2;30
03009001;ALCOI;07/01/1997;HMN;35
03009001;ALCOI;08/01/1997;SO2;35
03009001;ALCOI;08/01/1997;HMN;42
03009001;ALCOI;09/01/1997;HMN;49
03009001;ALCOI;09/01/1997;SO2;41
03009001;ALCOI;10/01/1997;HMN;25
03009001;ALCOI;10/01/1997;SO2;25
03009001;ALCOI;11/01/1997;SO2;30
03009001;ALCOI;11/01/1997;HMN;22
03009001;ALCOI;12/01/1997;SO2;43
03009001;ALCOI;12/01/1997;HMN;9
03009001;ALCOI;13/01/1997;HMN;53
03009001;ALCOI;13/01/1997;SO2;53
03009001;ALCOI;14/01/1997;HMN;24
03009001;ALCOI;14/01/1997;SO2;51
03009001;ALCOI;15/01/1997;SO2;38
03009001;ALCOI;15/01/1997;HMN;10
03009001;ALCOI;16/01/1997;HMN;9
03009001;ALCOI;16/01/1997;SO2;66
03009001;ALCOI;17/01/1997;HMN;25
03009001;ALCOI;17/01/1997;SO2;3
03009001;ALCOI;18/01/1997;SO2;11
03009001;ALCOI;18/01/1997;HMN;67
03009001;ALCOI;19/01/1997;HMN;9
03009001;ALCOI;19/01/1997;SO2;37
03009001;ALCOI;20/01/1997;HMN;84
03009001;ALCOI;20/01/1997;SO2;35
03009001;ALCOI;21/01/1997;HMN;37
03009001;ALCOI;21/01/1997;SO2;25
03009001;ALCOI;22/01/1997;HMN;6
03009001;ALCOI;22/01/1997;SO2;43
03009001;ALCOI;23/01/1997;HMN;15
03009001;ALCOI;23/01/1997;SO2;47
03009001;ALCOI;24/01/1997;HMN;61
03009001;ALCOI;24/01/1997;SO2;19
03009001;ALCOI;25/01/1997;SO2;10
03009001;ALCOI;25/01/1997;HMN;26
03009001;ALCOI;26/01/1997;SO2;28
03009001;ALCOI;26/01/1997;HMN;6
03009001;ALCOI;27/01/1997;SO2;29
03009001;ALCOI;27/01/1997;HMN;61
