ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_GENERO;DESC_GENERO;NUM_CONTRATOS
2016;01;03;ALICANTE;001;ADSUBIA;H;HOMBRE;5
2016;01;03;ALICANTE;001;ADSUBIA;M;MUJER;8
2016;01;03;ALICANTE;002;AGOST;H;HOMBRE;101
2016;01;03;ALICANTE;002;AGOST;M;MUJER;100
2016;01;03;ALICANTE;003;AGRES;H;HOMBRE;9
2016;01;03;ALICANTE;003;AGRES;M;MUJER;9
2016;01;03;ALICANTE;004;AIGÜES;H;HOMBRE;6
2016;01;03;ALICANTE;004;AIGÜES;M;MUJER;1
2016;01;03;ALICANTE;005;ALBATERA;H;HOMBRE;254
2016;01;03;ALICANTE;005;ALBATERA;M;MUJER;61
2016;01;03;ALICANTE;006;ALCALALI;H;HOMBRE;1
2016;01;03;ALICANTE;006;ALCALALI;M;MUJER;2
2016;01;03;ALICANTE;007;ALCOCER DE PLANES;H;HOMBRE;1
2016;01;03;ALICANTE;008;ALCOLEJA;M;MUJER;3
2016;01;03;ALICANTE;009;ALCOY/ALCOI;H;HOMBRE;631
2016;01;03;ALICANTE;009;ALCOY/ALCOI;M;MUJER;523
2016;01;03;ALICANTE;010;ALFAFARA;H;HOMBRE;2
2016;01;03;ALICANTE;010;ALFAFARA;M;MUJER;2
2016;01;03;ALICANTE;011;ALFAS DEL PI, L';H;HOMBRE;147
2016;01;03;ALICANTE;011;ALFAS DEL PI, L';M;MUJER;136
2016;01;03;ALICANTE;012;ALGORFA;H;HOMBRE;17
2016;01;03;ALICANTE;012;ALGORFA;M;MUJER;10
2016;01;03;ALICANTE;013;ALGUEÑA;H;HOMBRE;18
